dag,m1x,m1y,m2x,m2y,Mx,My
903000,-4752372464982281.0,1337582416754778.2,842913089669945.0,-1589529012824844.5,229441347061.9697,40893843388.12439
904000,-4757635330079281.0,1339063680110278.2,843846545355298.2,-1591289284089174.0,229695434674.91525,40939129909.55536
905000,-4762898195176281.0,1340544943465778.2,844780001040516.0,-1593049555353246.0,229949522287.8608,40984416430.978775
906000,-4768161060273281.0,1342026206821278.2,845713456725598.5,-1594809826617061.2,230203609900.80637,41029702952.396614
907000,-4773423925370281.0,1343507470176778.2,846646912410546.0,-1596570097880620.0,230457697513.75192,41074989473.80891
908000,-4778686790467281.0,1344988733532278.2,847580368095358.8,-1598330369143923.0,230711785126.69748,41120275995.215675
909000,-4783949655564281.0,1346469996887778.2,848513823780036.9,-1600090640406970.5,230965872739.66983,41165562516.61613
910000,-4789212520661281.0,1347951260243278.2,849447279464580.6,-1601850911669763.2,231219960352.6459,41210849038.00977
911000,-4794475385758281.0,1349432523598601.0,850380735148990.4,-1603611182932301.8,231474047965.62198,41256135559.39796
912000,-4799738250855281.0,1350913786953851.0,851314190833266.2,-1605371454194586.5,231728135578.59805,41301422080.7807
913000,-4805001115952281.0,1352395050309101.0,852247646517408.5,-1607131725456618.0,231982223191.57413,41346708602.158035
914000,-4810263981049075.0,1353876313664351.0,853181102201417.4,-1608891996718397.0,232236310804.5502,41391995123.52797
915000,-4815526846145075.0,1355357577019601.0,854114557885286.0,-1610652267979923.8,232490398417.52628,41437281644.89229
916000,-4820789711241075.0,1356838840374851.0,855048013569021.2,-1612412539241198.8,232744486030.50235,41482568166.25125
917000,-4826052576337075.0,1358320103730101.0,855981469252624.0,-1614172810502222.8,232998573643.47842,41527854687.60489
918000,-4831315441433075.0,1359801367085351.0,856914924936094.6,-1615933081762996.2,233252661256.4545,41573141208.951935
919000,-4836578306529075.0,1361282630440601.0,857848380619433.2,-1617693353023519.8,233506748869.43057,41618427730.29265
920000,-4841841171625075.0,1362763893795851.0,858781836302640.2,-1619453624283794.0,233760836482.40665,41663714251.62809
921000,-4847104036721075.0,1364245157151101.0,859715291985715.8,-1621213895543819.2,234014924095.38272,41709000772.95829
922000,-4852366901817075.0,1365726420506351.0,860648747668660.1,-1622974166803596.2,234269011708.3588,41754287294.28245
923000,-4857629766913075.0,1367207683861601.0,861582203351473.5,-1624734438063125.2,234523099321.33487,41799573815.59981
924000,-4862892632009075.0,1368688947216851.0,862515659034156.2,-1626494709322407.2,234777186934.31094,41844860336.91199
925000,-4868155497105075.0,1370170210572101.0,863449114716708.5,-1628254980581442.5,235031274547.28702,41890146858.21901
926000,-4873418362201075.0,1371651473927351.0,864382570399130.5,-1630015251840231.5,235285362160.2631,41935433379.52028
927000,-4878681227297075.0,1373132737282601.0,865316026081422.6,-1631775523098775.0,235539449773.251,41980719900.814545
928000,-4883944092393075.0,1374614000637851.0,866249481763585.0,-1633535794357073.5,235793537386.2576,42026006422.103714
929000,-4889206957489075.0,1376095263993101.0,867182937445617.9,-1635296065615127.5,236047624999.2642,42071292943.38782
930000,-4894469822585075.0,1377576527348351.0,868116393127521.5,-1637056336872937.8,236301712612.27078,42116579464.6662
931000,-4899732687681075.0,1379057790703601.0,869049848809296.2,-1638816608130504.8,236555800225.27737,42161865985.93764
932000,-4904995552777075.0,1380539054058851.0,869983304490942.2,-1640576879387829.0,236809887838.28397,42207152507.20406
933000,-4910258417873075.0,1382020317414101.0,870916760172459.9,-1642337150644911.0,237063975451.29056,42252439028.465515
934000,-4915521282969075.0,1383501580769351.0,871850215853849.2,-1644097421901751.5,237318063064.29715,42297725549.72101
935000,-4920784148065075.0,1384982844124601.0,872783671535110.6,-1645857693158351.0,237572150677.30374,42343012070.96988
936000,-4926047013161075.0,1386464107479631.0,873717127216244.4,-1647617964414710.0,237826238290.31033,42388298592.21384
937000,-4931309878257075.0,1387945370834631.0,874650582897250.6,-1649378235670829.0,238080325903.31693,42433585113.4529
938000,-4936572743353075.0,1389426634189631.0,875584038578129.8,-1651138506926708.8,238334413516.32352,42478871634.68551
939000,-4941835608449075.0,1390907897544631.0,876517494258882.0,-1652898778182349.8,238588501129.3301,42524158155.91209
940000,-4947098473545075.0,1392389160899631.0,877450949939506.6,-1654659049437752.8,238842588742.3367,42569444677.133835
941000,-4952361338641075.0,1393870424254631.0,878384405620004.6,-1656419320692918.2,239096676355.3433,42614731198.350784
942000,-4957624203737075.0,1395351687609631.0,879317861300376.8,-1658179591947846.8,239350763968.34988,42660017719.5605
943000,-4962887068832127.0,1396832950964631.0,880251316980623.2,-1659939863202538.8,239604851581.35648,42705304240.76505
944000,-4968149933927127.0,1398314214319631.0,881184772660744.4,-1661700134456995.0,239858939194.36307,42750590761.96487
945000,-4973412799022127.0,1399795477674631.0,882118228340740.5,-1663460405711216.2,240113026807.36966,42795877283.159325
946000,-4978675664117127.0,1401276741029631.0,883051684020611.8,-1665220676965202.8,240367114420.38095,42841163804.34681
