uur,vx_c,vx_b,vx_ster
2585,31964.5247557766,19040.7376376475,55.157859201290194
2586,24798.419550801234,22766.140662184087,46.49714303818332
2587,17488.499720735555,26230.41037435742,39.63393651668255
2588,10082.751136797988,29386.561238988517,34.75557881968217
2589,2588.917697250876,32187.851864199274,32.1221189307027
2590,-5004.156433422475,34588.177337129084,32.02469171191848
2591,-12712.319172272488,36542.642815641,34.75597513316904
2592,-20542.0841538112,38008.34555476748,40.57975824543968
2593,-28469.606716011454,38945.38705805949,49.686265981254294
2594,-36400.85854942811,39318.12741324331,62.11142265391248
2595,-44088.86023519163,39096.678978341275,77.57559333183033
2596,-50956.24897377187,38258.61572437588,95.1466471886208
2597,-55722.155816017854,36790.847686169385,112.54150769875844
2598,-55722.98748548642,34691.577566860484,124.8632642619001
2599,-46357.40363412853,31972.216580686552,123.56734325069021
2600,-23670.884843788175,28659.073395608517,101.213456742908
2601,6832.263057291344,24794.519177987575,67.6941816430179
2602,31502.418647897142,20437.337187953584,47.812870986163475
2603,44822.70467264436,15662.337767168054,51.29488406906198
2604,49463.74749371701,10559.228940885656,72.6933247443945
2605,48996.99613107297,5230.392497989732,104.82722286811503
2606,45720.40164821747,-212.48919683023178,142.80734357288884
2607,40886.96476997464,-5652.681537041133,183.64003915249145
2608,35151.79467064044,-10973.096149392066,225.43115330185753
2609,28852.562814418867,-16060.990045922195,266.8968856846728
2610,22158.105485199038,-20812.27256227552,307.1152802170767
2611,15144.837763820016,-25135.110441796136,345.4065959620967
2612,7836.755913308597,-28952.61109258771,381.27535345345194
2613,227.70858397268512,-32204.465789666472,414.3789454194296
2614,-7703.9331625716595,-34847.54554045017,444.50410545456606
2615,-15981.243266366324,-36855.54516784724,471.5389652850973
2616,-24607.547102976438,-38217.847668868235,495.4273424430618
2617,-33524.315483255086,-38937.82249311059,516.0811762265783
2618,-42518.50156655912,-39030.7832098467,533.1978172676336
2619,-51013.258593070226,-38521.83939245779,545.8618347228713
2620,-57611.1254839787,-37443.96744523832,551.6920501454181
